2025-04-28 18:18:36,890 ; SGR_Logger ; INFO ; Start
2025-04-28 18:18:36,898 ; SGR_Logger ; INFO ; 1
2025-04-28 18:18:37,083 ; SGR_Logger ; INFO ; 1a
2025-04-28 18:19:12,889 ; SGR_Logger ; INFO ; Start
2025-04-28 18:19:12,891 ; SGR_Logger ; INFO ; 1
2025-04-28 18:19:13,035 ; SGR_Logger ; INFO ; 1a
2025-04-28 19:00:01,860 ; SGR_Logger ; INFO ; Start
2025-04-28 19:00:01,861 ; SGR_Logger ; INFO ; 1
2025-04-28 19:00:01,980 ; SGR_Logger ; INFO ; 1a
2025-04-28 19:00:02,181 ; SGR_Logger ; INFO ; 2
2025-04-28 19:00:04,109 ; SGR_Logger ; INFO ; 3
2025-04-28 20:00:02,082 ; SGR_Logger ; INFO ; Start
2025-04-28 20:00:02,085 ; SGR_Logger ; INFO ; 1
2025-04-28 20:00:02,224 ; SGR_Logger ; INFO ; 1a
2025-04-28 20:00:02,426 ; SGR_Logger ; INFO ; 2
2025-04-28 20:00:04,184 ; SGR_Logger ; INFO ; 3
