Bundesland,Solarleistung kW pro qkm
Baden-Württemberg,417.2358162518865
Bayern,453.1412335533171
Berlin,561.0894638208098
Brandenburg,301.15545204452087
Bremen,464.3473749433998
Hamburg,346.40491199724534
Hessen,262.11648069059777
Mecklenburg-Vorpommern,222.76726266264288
Niedersachsen,221.7618794422122
Nordrhein-Westfalen,425.708752189799
Rheinland-Pfalz,302.7408882176778
Saarland,465.39265764995025
Sachsen,301.72711082902526
Sachsen-Anhalt,292.8324009146341
Schleswig-Holstein,301.40992888011493
Thüringen,200.13819404198273
